Standardized_City,Job_Count,Longitude,Latitude
"New York, NY",618,-74.0059728,40.7127753
"Chicago, IL",292,-87.6297982,41.8781136
"Houston, TX",265,-95.3698028,29.7604267
"Los Angeles, CA",248,-118.242643,34.0549076
"San Francisco, CA",239,-122.4194155,37.7749295
"Atlanta, GA",237,-84.38768449999999,33.748752
"Dallas, TX",215,-96.79698789999999,32.7766642
"Austin, TX",203,-97.7430608,30.267153
"Boston, MA",160,-71.0588801,42.3600825
"Washington, DC",159,-77.0368707,38.9071923
"San Diego, CA",157,-117.1610838,32.715738
"Seattle, WA",150,-122.3328481,47.6061389
"Phoenix, AZ",132,-112.0740373,33.4483771
"Charlotte, NC",125,-80.8431267,35.2270869
"Denver, CO",117,-104.990251,39.7392358
"Nashville, TN",110,-86.7816016,36.1626638
"Philadelphia, PA",100,-75.1652215,39.9525839
"Minneapolis, MN",98,-93.2650108,44.977753
"Miami, FL",95,-80.1917902,25.7616798
"Las Vegas, NV",84,-115.1391009,36.171563
"Tampa, FL",81,-82.45875269999999,27.9516896
"Columbus, OH",78,-82.99879419999999,39.9611755
"Salt Lake City, UT",76,-111.8910474,40.7607793
"Orlando, FL",67,-81.3789269,28.5383832
"Irvine, CA",67,-117.8265049,33.6845673
"San Jose, CA",62,-121.8852525,37.33874
"St Louis, MO",60,-90.19940419999999,38.6270025
"Fort Worth, TX",58,-97.3307658,32.7554883
"Plano, TX",58,-96.6988856,33.0198431
"Raleigh, NC",58,-78.6381787,35.7795897
"San Antonio, TX",57,-98.4945922,29.4251905
"Madison, WI",56,-89.4007501,43.0721661
"Baltimore, MD",55,-76.6121893,39.2903848
"Richmond, VA",54,-77.4360481,37.5407246
"Indianapolis, IN",52,-86.158068,39.768403
"Irving, TX",51,-96.9488945,32.8140177
"Durham, NC",51,-78.898619,35.9940329
"Cincinnati, OH",47,-84.5120196,39.1031182
"Milwaukee, WI",47,-87.9064736,43.0389025
"Arlington, VA",46,-77.09098089999999,38.8816208
"Sacramento, CA",46,-121.4943996,38.5815719
"Rochester, NY",45,-77.6088465,43.15657789999999
"Pittsburgh, PA",44,-79.9958864,40.44062479999999
"Sunnyvale, CA",42,-122.0363496,37.36883
"Kansas City, MO",41,-94.5785667,39.0997265
"Santa Clara, CA",41,-121.9552356,37.3541079
"McLean, VA",41,-77.1772604,38.9338676
"Detroit, MI",40,-83.0457538,42.331427
"Bellevue, WA",40,-122.2015159,47.6101497
"Portland, OR",39,-122.6783853,45.515232
"Jacksonville, FL",39,-81.65565099999999,30.3321838
"Brooklyn, NY",39,-73.9441579,40.6781784
