Standardized_City,Job_Count
"New York, NY",618
"Chicago, IL",292
"Houston, TX",265
"Los Angeles, CA",248
"San Francisco, CA",239
"Atlanta, GA",237
"Dallas, TX",215
"Austin, TX",203
"Boston, MA",160
"Washington, DC",159
"San Diego, CA",157
"Seattle, WA",150
"Phoenix, AZ",132
"Charlotte, NC",125
"Denver, CO",117
"Nashville, TN",110
"Philadelphia, PA",100
"Minneapolis, MN",98
"Miami, FL",95
"Las Vegas, NV",84
"Tampa, FL",81
"Columbus, OH",78
"Salt Lake City, UT",76
"Orlando, FL",67
"Irvine, CA",67
"San Jose, CA",62
"St Louis, MO",60
"Fort Worth, TX",58
"Plano, TX",58
"Raleigh, NC",58
"San Antonio, TX",57
"Madison, WI",56
"Baltimore, MD",55
"Richmond, VA",54
"Indianapolis, IN",52
"Irving, TX",51
"Durham, NC",51
"Cincinnati, OH",47
"Milwaukee, WI",47
"Arlington, VA",46
"Sacramento, CA",46
"Rochester, NY",45
"Pittsburgh, PA",44
"Sunnyvale, CA",42
"Kansas City, MO",41
"Santa Clara, CA",41
"McLean, VA",41
"Detroit, MI",40
"Bellevue, WA",40
"Portland, OR",39
"Jacksonville, FL",39
"Brooklyn, NY",39
"Alpharetta, GA",39
"Louisville, KY",38
"Jersey City, NJ",37
"Mountain View, CA",37
"Greenville, SC",36
"Gainesville, FL",35
"Tulsa, OK",34
"Tempe, AZ",33
"Palo Alto, CA",32
"Scottsdale, AZ",31
"Oklahoma City, OK",30
"Cleveland, OH",30
"Long Beach, CA",30
"Omaha, NE",28
"Tucson, AZ",28
"Columbia, SC",28
"Boise, ID",27
"Redmond, WA",27
"Fort Lauderdale, FL",27
"Fremont, CA",26
"Wilmington, DE",26
"Vancouver, WA",26
"Cambridge, MA",25
"Des Moines, IA",25
"Memphis, TN",25
"Oakland, CA",24
"West Palm Beach, FL",23
"Birmingham, AL",23
"Troy, MI",23
"Greensboro, NC",23
"Colorado Springs, CO",23
"Pasadena, CA",23
"Albuquerque, NM",22
"Patchogue, NY",22
"Charleston, SC",22
"Wichita, KS",21
"Grand Rapids, MI",21
"Lexington, KY",21
"Fort Myers, FL",20
"Sarasota, FL",20
"Stamford, CT",20
"Katy, TX",20
"Boca Raton, FL",19
"Providence, RI",19
"Richardson, TX",19
"Torrance, CA",19
"Duluth, GA",19
"Rockville, MD",19
"Midland, TX",18
"Tallahassee, FL",18
"Overland Park, KS",18
"Chantilly, VA",18
"Alexandria, VA",18
"Beaverton, OR",18
"Portland, Oregon",18
"Hartford, CT",18
"Harrisburg, PA",18
"Lancaster, PA",17
"Bethesda, MD",17
"Anchorage, AK",17
"Rochester, MN",17
"Lansing, MI",17
"Fairfax, VA",17
"St Paul, MN",16
"Waco, TX",16
"Annapolis, MD",16
"Auburn Hills, MI",16
"Princeton, NJ",16
"Bellingham, WA",16
"Santa Monica, CA",16
"Buffalo, NY",16
"Carlsbad, CA",16
"Manhattan, NY",16
"West Columbia, SC",16
"Orange County, CA",16
"Frisco, TX",16
"Lubbock, TX",16
"Newark, NJ",15
"Pleasanton, CA",15
"Reno, NV",15
"Santa Ana, CA",15
"Waltham, MA",15
"Gaithersburg, MD",15
"Chattanooga, TN",15
"Charlottesville, VA",15
"St Petersburg, FL",15
"Herndon, VA",14
"Parsippany, NJ",14
"Pickerington, OH",14
"Cary, NC",14
"Syracuse, NY",14
"Santa Barbara, CA",14
"Columbus, Ohio",14
"Basking Ridge, NJ",14
"Cupertino, CA",14
Raleigh-Durham-Chapel Hill Area,14
"Arlington, TX",14
"Mesa, AZ",14
"New Orleans, LA",14
"Fort Wayne, IN",14
"Columbia, MD",13
"Silver Spring, MD",13
"Fresno, CA",13
"Queens, NY",13
"Burbank, CA",13
"Broomfield, CO",13
"Baton Rouge, LA",13
"Bakersfield, CA",13
"Asheville, NC",13
"Virginia Beach, VA",12
"Bothell, WA",12
"Wilmington, NC",12
"Frederick, MD",12
"York, PA",12
"Newark, DE",12
"Fargo, ND",12
Greater St. Louis,12
"Toledo, OH",12
"Hoboken, NJ",12
"Huntsville, AL",12
"Orange, CA",12
"El Segundo, CA",12
"Knoxville, TN",12
"La Mesa, CA",12
"McKinney, TX",12
"Norfolk, VA",12
"Newport Beach, CA",12
"Southfield, MI",12
"Urbana, IL",11
"Stockton, CA",11
"Shakopee, MN",11
"Albany, NY",11
"Little Rock, AR",11
"Melbourne, FL",11
"Green Bay, WI",11
"Reading, PA",11
"Honolulu, HI",11
"Culver City, CA",11
"Costa Mesa, CA",11
"Edmond, OK",11
"Chandler, AZ",11
"Langhorne, PA",11
"Bradenton, FL",11
"Naples, FL",11
"Bentonville, AR",11
"Foster City, CA",11
"Bronx, NY",10
"Chesterfield, MO",10
"Brea, CA",10
"College Station, TX",10
"Columbus, GA",10
"Coral Gables, FL",10
"Dayton, OH",10
"Winston-Salem, NC",10
"Daytona Beach, FL",10
"Worcester, MA",10
"Round Rock, TX",10
"Greenwood Village, CO",10
"Hillsboro, OR",10
"Tacoma, WA",10
"Jefferson City, MO",10
"Kansas City, KS",10
"Kent, WA",10
"Kirkland, WA",10
"Littleton, CO",10
"Manhattan Beach, CA",10
"Sioux Falls, SD",10
"Milpitas, CA",10
"Morgantown, WV",10
"Olympia, WA",10
"Paramus, NJ",10
"Santa Rosa, CA",10
"Henderson, NV",10
