High School,College,Masters,PhD
122812,78126,108783,107763
122812,116465,108783,107763
122812,116465,108783,112473
122812,72883,108783,112473
122812,92997,108783,112473
122812,92997,95803,112473
122812,92997,95803,105329
122812,92997,95803,83691
122812,92997,95803,99190
122812,109494,95803,99190
99847,109494,95803,99190
99847,101905,95803,99190
99847,101905,95803,117656
99847,101905,95803,92652
99847,101905,95803,94997
99847,81069,95803,94997
99847,81069,95803,142448
99847,81197,95803,142448
99847,81197,109923,142448
99847,81197,109923,98035
99847,81197,109923,114448
99847,122896,109923,114448
99847,122896,76496,114448
99847,122896,113519,114448
99847,122896,113519,89539
84495,122896,113519,89539
84495,122896,113519,123391
84495,122896,113519,106090
101454,122896,113519,106090
102022,122896,113519,106090
102022,94047,113519,106090
102022,88009,113519,106090
102022,88009,113519,106139
102022,88009,113519,95824
102022,88009,113519,97673
102022,88009,68087,97673
102022,88009,130317,97673
102022,88009,91232,97673
102022,88009,91232,80676
102022,88009,91232,84513
102022,96310,91232,84513
112335,96310,91232,84513
112335,96310,100133,84513
112335,96310,98578,84513
112335,96310,98578,106940
112335,96310,99069,106940
112335,96310,96986,106940
112335,79728,96986,106940
71578,79728,96986,106940
71578,79728,96986,121959
71578,79524,96986,121959
71578,79524,85765,121959
71578,79524,85765,107202
71578,79524,96607,107202
71578,92017,96607,107202
71578,92017,96607,98967
71578,92790,96607,98967
91875,92790,96607,98967
91875,136772,96607,98967
75410,136772,96607,98967
75410,136772,96607,69421
64594,136772,96607,69421
64594,142378,96607,69421
64594,62149,96607,69421
64594,62149,96607,111478
64594,122402,96607,111478
58991,122402,96607,111478
58991,122402,96607,55695
58991,83172,96607,55695
58991,112552,96607,55695
58991,87382,96607,55695
58991,87382,93271,55695
58991,87382,121061,55695
58991,87382,88939,55695
58991,87382,88939,58686
68412,87382,88939,58686
68412,87382,88939,156788
68412,87382,88939,55150
68412,87382,88939,97009
68412,87382,137135,97009
68412,87382,137135,78334
68412,87382,137135,128557
68412,87382,137135,76850
68412,87382,101131,76850
68412,87382,60461,76850
117794,87382,60461,76850
117794,90300,60461,76850
117794,90300,85757,76850
155151,90300,85757,76850
155151,90300,105174,76850
91448,90300,105174,76850
91448,136571,105174,76850
105154,136571,105174,76850
105154,121464,105174,76850
105154,121464,105174,125923
119421,121464,105174,125923
119421,121464,101969,125923
119421,121464,100625,125923
119421,121464,100625,61620
56166,121464,100625,61620
56166,121464,100625,85019
56166,121464,98640,85019
56166,121464,98640,98583
56166,115615,98640,98583
96329,115615,98640,98583
96329,115615,70096,98583
96329,115615,91336,98583
96329,115615,96506,98583
96329,115615,73369,98583
96329,115615,67847,98583
96329,115615,67847,87205
96329,106247,67847,87205
96329,106247,51237,87205
96329,72592,51237,87205
96329,72592,51237,119374
96329,72592,51237,133817
96329,72592,80768,133817
96329,63410,80768,133817
143985,63410,80768,133817
143985,117163,80768,133817
95119,117163,80768,133817
95119,110428,80768,133817
95119,110428,80768,136138
111006,110428,80768,136138
86493,110428,80768,136138
65008,110428,80768,136138
65008,110428,92256,136138
65008,110428,92256,48736
65008,110428,105386,48736
65008,112237,105386,48736
76692,112237,105386,48736
101424,112237,105386,48736
101424,112237,105386,107462
99340,112237,105386,107462
99340,112237,97867,107462
99340,112237,128726,107462
122269,112237,128726,107462
122269,112237,128726,78192
122269,112237,128726,112146
122269,76197,128726,112146
112143,76197,128726,112146
112143,73886,128726,112146
112143,73886,128726,137604
102048,73886,128726,137604
102048,73886,105610,137604
102048,73596,105610,137604
102048,73596,107794,137604
