Education,Salary
College,52301
College,119604
PhD,99476
Masters,118234
Masters,108783
PhD,81016
College,78126
PhD,107763
High School,122812
College,116465
PhD,112473
College,72883
College,92997
Masters,95803
PhD,105329
PhD,83691
PhD,99190
College,109494
High School,99847
College,101905
PhD,117656
PhD,92652
PhD,94997
College,81069
PhD,142448
College,81197
Masters,109923
PhD,98035
PhD,114448
College,122896
Masters,76496
Masters,113519
PhD,89539
High School,84495
PhD,123391
PhD,106090
High School,101454
High School,102022
College,94047
College,88009
PhD,106139
PhD,95824
PhD,97673
Masters,68087
Masters,130317
Masters,91232
PhD,80676
PhD,84513
College,96310
High School,112335
Masters,100133
Masters,98578
PhD,106940
Masters,99069
Masters,96986
College,79728
High School,71578
PhD,121959
College,79524
Masters,85765
PhD,107202
Masters,96607
College,92017
PhD,98967
College,92790
High School,91875
College,136772
High School,75410
PhD,69421
High School,64594
College,142378
College,62149
PhD,111478
College,122402
High School,58991
PhD,55695
College,83172
College,112552
College,87382
Masters,93271
Masters,121061
Masters,88939
PhD,58686
High School,68412
PhD,156788
PhD,55150
PhD,97009
Masters,137135
PhD,78334
PhD,128557
PhD,76850
Masters,101131
Masters,60461
High School,117794
College,90300
Masters,85757
High School,155151
Masters,105174
High School,91448
College,136571
High School,105154
College,121464
PhD,125923
High School,119421
Masters,101969
Masters,100625
PhD,61620
High School,56166
PhD,85019
Masters,98640
PhD,98583
College,115615
High School,96329
Masters,70096
Masters,91336
Masters,96506
Masters,73369
Masters,67847
PhD,87205
College,106247
Masters,51237
College,72592
PhD,119374
PhD,133817
Masters,80768
College,63410
High School,143985
College,117163
High School,95119
College,110428
PhD,136138
High School,111006
High School,86493
High School,65008
Masters,92256
PhD,48736
Masters,105386
College,112237
High School,76692
High School,101424
PhD,107462
High School,99340
Masters,97867
Masters,128726
High School,122269
PhD,78192
PhD,112146
College,76197
High School,112143
College,73886
PhD,137604
High School,102048
Masters,105610
College,73596
Masters,107794
PhD,94481
Masters,124006
Masters,142047
Masters,94565
Masters,78202
PhD,92049
College,116843
High School,115222
College,121865
Masters,87810
Masters,151758
High School,67089
High School,55033
Masters,79333
High School,53192
High School,109015
Masters,69872
Masters,116520
PhD,68343
Masters,80651
PhD,118977
Masters,89182
College,92449
Masters,115762
Masters,117399
PhD,136681
College,128166
