,shortName,volume,grossMargins,currentRatio,bookValue,totalCashPerShare,currentPrice,empty
0,Archer-Daniels-Midland Company,0.3830508,0.07545,0.1633,0.23263999999999999,0.133,0.376,0
1,Automatic Data Processing; Inc.,0.1974466,0.47245997,0.0986,0.042575,0.25465,1.24665,0
2,AFLAC Incorporated,0.3382418,0.42683998,0.1274,0.17147500000000002,0.6258,0.40700000000000003,0
3,Agilent Technologies; Inc.,0.3282794,0.50929,0.229,0.09493,0.2271,0.562,0
4,Align Technology; Inc.,0.1043546,0.69947,0.11699999999999999,0.2377,0.6584,1.3838,0
5,Amazon.com; Inc.,9.8563192,0.45529997,0.0948,0.08174,0.31,0.65735,0
6,Advanced Micro Devices; Inc.,9.909651,0.49967998,0.21800000000000003,0.170805,0.1945,0.5257000000000001,0
7,Ameren Corporation,0.3356626,0.43136,0.0623,0.203595,0.00135,0.392,0
8,Analog Devices; Inc.,0.43777,0.65229,0.1708,0.36024999999999996,0.1153,0.8630500000000001,0
9,Applied Materials; Inc.,1.1545928,0.46400002,0.22959999999999997,0.09021000000000001,0.3906,0.7136,0
10,Autodesk; Inc.,0.1803654,0.91424006,0.0728,0.02818,0.4849,1.06995,0
11,Bank of America Corporation,18.9495334,0.0,,0.160255,5.3886,0.1381,0
12,Biogen Inc.,0.1229994,0.76233,0.3274,0.49955,2.0985,1.33715,0
13,The Bank of New York Mellon Cor,3.403719,0.0,,0.23241499999999998,10.44215,0.21719999999999998,0
14,Boston Scientific Corporation,1.4698894,0.69141996,0.129,0.062305,0.014549999999999999,0.2523,0
15,C.H. Robinson Worldwide; Inc.,0.184905,0.07057,0.1105,0.059660000000000005,0.09025,0.43105,0
16,Cadence Design Systems; Inc.,0.2996418,0.89411,0.1373,0.053505000000000004,0.16075,1.2501,0
17,Cardinal Health; Inc.,0.3821978,0.0336,0.1004,-0.056815,0.8064,0.46520000000000006,0
18,CDW Corporation,0.0927006,0.20932,0.1298,0.060195,0.07604999999999999,1.0445,0
19,Centene Corporation,0.5544086,0.16715,0.11140000000000001,0.23507999999999998,1.7897500000000002,0.36060000000000003,0
20,CenterPoint Energy; Inc (Holdin,1.3052554,0.38865003,0.088,0.07586999999999999,0.059,0.13970000000000002,0
21,Chipotle Mexican Grill; Inc.,0.042961,0.40495998,0.1585,0.50132,2.45765,9.14755,0
22,Cisco Systems; Inc.,3.4208554,0.62727,0.1385,0.05454,0.3247,0.2697,0
23,Cognizant Technology Solutions ,0.4594342,0.35305,0.22749999999999998,0.12775,0.20739999999999997,0.33585,0
24,Colgate-Palmolive Company,2.0168286,0.5687,0.11739999999999999,-0.000385,0.06570000000000001,0.3604,0
25,Comcast Corporation,3.1190502,0.69646,0.0757,0.101785,0.0866,0.2218,0
26,ConocoPhillips,0.8395574,0.47526002,0.1414,0.19846,0.28454999999999997,0.6273,0
27,Constellation Brands; Inc.,0.2586184,0.50091,0.1202,0.25566,0.0227,1.189,0
28,The Cooper Companies; Inc.,0.0609096,0.65866995,0.1722,0.760435,0.11845000000000001,1.6501499999999998,0
29,Copart; Inc.,0.4921494,0.45726,0.6621,0.03127,0.12344999999999999,0.23329999999999998,0
30,CoStar Group; Inc.,0.300331,0.80646,1.2297,0.08702,0.6374,0.39899999999999997,0
31,Crown Castle Inc.,0.7276494,0.70825,0.0495,0.081175,0.0318,0.467,0
32,CSX Corporation,1.7328992,0.50086,0.1417,0.03058,0.025750000000000002,0.15685000000000002,0
33,Deere & Company,0.1790316,0.30309,0.1996,0.40014000000000005,0.8913,1.9556,0
34,Devon Energy Corporation,1.891859,0.57049,0.09759999999999999,0.08596500000000001,0.02905,0.24965,0
35,DexCom; Inc.,1.0653318,0.63939,0.24169999999999997,0.027200000000000002,0.46875,0.40245,0
36,Digital Realty Trust; Inc.,0.2967556,0.54479,0.074,0.28221,0.02345,0.61645,0
37,Dollar General Corporation,1.2665512,0.31009,0.1394,0.143475,0.0804,0.58665,0
38,Dominion Energy; Inc.,0.9221594,0.46307,0.056999999999999995,0.15917,0.016,0.20955,0
39,Domino's Pizza Inc,0.1203434,0.27101,0.1413,-0.5856750000000001,0.11435,1.75245,0
40,eBay Inc.,0.7169176,0.72374,0.2452,0.04942,0.6700999999999999,0.21280000000000002,0
41,Edwards Lifesciences Corporatio,0.4880756,0.79095,0.31520000000000004,0.05244,0.12415000000000001,0.35165,0
