name,industry,employeeCount
Accounting,0,
Airlines/Aviation,0,
Alternative Medicine,0,
Animation,0,
Apparel & Fashion,0,
Architecture & Planning,0,
Automotive,0,
Aviation & Aerospace,0,
Banking,0,
Biotechnology,0,
Broadcast Media,0,
Building Materials,0,
Business Supplies & Equipment,0,
Capital Markets,0,
Chemicals,0,
Civic & Social Organization,0,
Civil Engineering,0,
Commercial Real Estate,0,
Computer & Network Security,0,
Computer Games,0,
Computer Hardware,0,
Computer Networking,0,
Computer Software,0,
Construction,0,
Consumer Electronics,0,
Consumer Goods,0,
Consumer Services,0,
Cosmetics,0,
Dairy,0,
Defense & Space,0,
Design,0,
E-learning,0,
Education Management,0,
Electrical & Electronic Manufacturing,0,
Entertainment,0,
Environmental Services,0,
Events Services,0,
Executive Office,0,
Facilities Services,0,
Farming,0,
Financial Services,0,
Fine Art,0,
Fishery,0,
Food & Beverages,0,
Food Production,0,
Fundraising,0,
Furniture,0,
Gambling & Casinos,0,
"Glass, Ceramics & Concrete",0,
Government Administration,0,
Government Relations,0,
Graphic Design,0,
"Health, Wellness & Fitness",0,
Higher Education,0,
Hospital & Health Care,0,
Hospitality,0,
Human Resources,0,
Import & Export,0,
Individual & Family Services,0,
Industrial Automation,0,
Information Services,0,
Information Technology & Services,0,
Insurance,0,
International Affairs,0,
International Trade & Development,0,
Internet,0,
Investment Banking,0,
Investment Management,0,
Judiciary,0,
Law Enforcement,0,
Law Practice,0,
Legal Services,0,
Legislative Office,0,
"Leisure, Travel & Tourism",0,
Libraries,0,
Logistics & Supply Chain,0,
Luxury Goods & Jewelry,0,
Machinery,0,
Management Consulting,0,
Maritime,0,
Market Research,0,
Marketing & Advertising,0,
Mechanical Or Industrial Engineering,0,
Media Production,0,
Medical Device,0,
Medical Practice,0,
Mental Health Care,0,
Military,0,
Mining & Metals,0,
Museums & Institutions,0,
Music,0,
Newspapers,0,
Non-profit Organization Management,0,
Oil & Energy,0,
Online Media,0,
Outsourcing/Offshoring,0,
Package/Freight Delivery,0,
Packaging & Containers,0,
Paper & Forest Products,0,
Performing Arts,0,
Pharmaceuticals,0,
Philanthropy,0,
Photography,0,
Plastics,0,
Political Organization,0,
Primary/Secondary Education,0,
Printing,0,
Professional Training & Coaching,0,
Public Policy,0,
Public Relations & Communications,0,
Public Safety,0,
Publishing,0,
Railroad Manufacture,0,
Real Estate,0,
Recreational Facilities & Services,0,
Religious Institutions,0,
Renewables & Environment,0,
Research,0,
Restaurants,0,
Retail,0,
Security & Investigations,0,
Semiconductors,0,
Shipbuilding,0,
Sporting Goods,0,
Sports,0,
Staffing & Recruiting,0,
Supermarkets,0,
Telecommunications,0,
Textiles,0,
Think Tanks,0,
Tobacco,0,
Translation & Localization,0,
Transportation/Trucking/Railroad,0,
Utilities,0,
Venture Capital & Private Equity,0,
Veterinary,0,
Warehousing,0,
Wholesale,0,
Wine & Spirits,0,
Wireless,0,
Writing & Editing,0,
0,,
1 Hotels,Hospitality,1344
1 POINT SYSTEM LLC,Staffing & Recruiting,176
1Community,Entertainment,17
"1st Fruits Consulting, Inc.",Staffing & Recruiting,7
"1st-Recruit LLC, An E-Verified Company",Information Technology & Services,5
2ab Studio,Information Technology & Services,2
3-Dimensional Services Group,Automotive,94
3D Systems Corporation,Mechanical Or Industrial Engineering,2826
"3E Promotions, LLC",Investment Management,1
"4Consulting, Inc.",Staffing & Recruiting,115
"4Staff, LLC",Staffing & Recruiting,15
7-Eleven,Retail,38972
8fig,Financial Services,84
8th Avenue Food & Provisions,Food Production,306
"10X Workforce, LLC",Staffing & Recruiting,1
23 Consulting Services,Information Technology & Services,5
24 Seven Talent,Staffing & Recruiting,2577
45 Urgent Care,Medical Practice,3
99 Cents Only Stores,Retail,3654
120 DEGREEZ MEP Engineering,Construction,16
355Code,Education Management,13
503 Motoring,Automotive,12
902 Youth,Non-profit Organization Management,18
908 Devices,Research,226
2020 Consulting LLC,Management Consulting,10
"(W)right On Communications, Inc.",Public Relations & Communications,13
[P1] Virtual Civilization Initiative,Civic & Social Organization,128
@properties,Real Estate,3846
A Free Bird™,Non-profit Organization Management,67
A R Sandri Inc,Information Technology & Services,5
A to Z Insurance Services,Insurance,5
a2c IT Consulting,Information Technology & Services,58
"A10 Networks, Inc",Computer Software,729
a360media,Media Production,167
A. O. Smith Corporation,Consumer Goods,13472
A&J Mobility,Automotive,22
A+E Networks,Entertainment,2563
AAA Control LLC,Security & Investigations,1
"AAA Northern California, Nevada & Utah",Consumer Services,1791
AAMCO Transmissions and Total Car Care,Automotive,992
Aarna Software and Solutions LLC,Staffing & Recruiting,8
"AB2 Consulting, Inc.",Information Technology & Services,42
ABC 10News San Diego | KGTV Channel 10,Media Production,109
ABC Fitness,"Health, Wellness & Fitness",1711
ABC Supply Co. Inc.,Building Materials,6140
Abercrombie & Fitch Co.,Retail,20840
ABF Freight,Transportation/Trucking/Railroad,3748
about-face beauty,Cosmetics,71
Abpro,Biotechnology,40
ABS Group,Management Consulting,1375
Abt Associates,Research,4520
AC Transit,Transportation/Trucking/Railroad,1086
Academic Partnerships,E-learning,832
Acadia Center,Non-profit Organization Management,32
Acadia Pharmaceuticals Inc.,Pharmaceuticals,669
"Acara Solutions, An Aleron Company",Staffing & Recruiting,486
Acceler8 Talent,Staffing & Recruiting,17
Accelerate Professional Talent Solutions,Staffing & Recruiting,24
Accelon Inc.,Information Technology & Services,22
Accentuate Staffing,Staffing & Recruiting,177
Access Global Group,Information Technology & Services,90
Access Sciences,Management Consulting,110
AccessHope,Hospital & Health Care,119
accesSOS,Public Safety,14
AccordCare,"Health, Wellness & Fitness",86
Accounting Resources Inc.,Accounting,54
Accruent,Computer Software,1097
AccruePartners,Staffing & Recruiting,168
AcctPositions,Accounting,2
Accuro,Staffing & Recruiting,193
Ace Hardware Corporation,Retail,13221
Ace Hotel / Atelier Ace,Hospitality,572
ACE Sushi,Food & Beverages,34
Ace Technologies,Information Technology & Services,159
Acenda Integrated Health,Non-profit Organization Management,217
Acer,Computer Hardware,7812
Achievement First,Education Management,1607
ACL Digital,Information Technology & Services,2015
Aclat Technologies Pvt Ltd,Staffing & Recruiting,48
"Acme Food Sales, INC",Import & Export,35
Acrisure,Financial Services,2300
Acro Service Corp,Staffing & Recruiting,607
Across America Insurance Services,Insurance,15
ACS Professional Staffing,Staffing & Recruiting,185
ACT Now Education,Information Services,19
Action Day Schools,Education Management,177
Activ8 Recruitment & Solutions,Human Resources,45
"ActiveSoft, Inc",Information Technology & Services,55
"Acuity Risk Consultants, Inc.",Management Consulting,13
"Acumen, LLC",Public Policy,701
Acuren,Mechanical Or Industrial Engineering,3556
ACV Auctions,Computer Software,1465
AD IT Staffing,Information Technology & Services,9
Ad Results Media,Marketing & Advertising,106
Adams & Martin Group,Staffing & Recruiting,135
Adaptive Solutions Group,Information Technology & Services,98
Addie Staffing (Addy Global Solutions),Staffing & Recruiting,7
Addison Group,Staffing & Recruiting,1955
Addition Management,Staffing & Recruiting,24
Adecco,Staffing & Recruiting,80897
Adecco Search,Staffing & Recruiting,69
Adesso Capital,Financial Services,19
ADHD Online,Mental Health Care,46
ADI Global Distribution,Security & Investigations,2034
adidas,Sporting Goods,56591
Aditi Consulting,Information Technology & Services,831
AdKings Agency,Marketing & Advertising,16
ADM,Food Production,25584
AdMedius,Marketing & Advertising,0
Adobe,Computer Software,36664
ADP,Human Resources,83579
ADSANTEC,Semiconductors,13
ADT,Consumer Services,23322
Aduro Advisors,Financial Services,248
Advance Auto Parts,Retail,19759
Advanced Automation Consulting,Information Technology & Services,20
Advanced Clinical,Biotechnology,1092
"Advanced Correctional Healthcare, Inc.",Hospital & Health Care,399
Advanced Diabetes Supply,Pharmaceuticals,362
ADVANCED FIBER PRODUCTS LIMITED,Electrical & Electronic Manufacturing,7
"Advanced Mechanical Services, LLC. , A Helios Company",Mechanical Or Industrial Engineering,27
"Advanced Resources Group, Inc.",Staffing & Recruiting,101
Advanced Robotic Solutions,Industrial Automation,9
Advanced Sensor Integrations,Semiconductors,3
Advanced Sterilization Products,Medical Device,1337
AdvantageCare Physicians,Hospital & Health Care,768
Advantasure,Information Technology & Services,697
Advantia Health,Hospital & Health Care,72
Advent Global Solutions,Information Technology & Services,512
Adventist HealthCare,Hospital & Health Care,2919
Adventure Christian School,Primary/Secondary Education,40
Advice Personnel,Staffing & Recruiting,23
Advion Interchim Scientific,Biotechnology,103
Advocate Aurora Health,Hospital & Health Care,13252
AECOM,Civil Engineering,68083
Aegis Protective Services,Security & Investigations,180
Aegon,Financial Services,41977
Aequor,Staffing & Recruiting,322
Aequor Information Technologies Pvt. Ltd.,Information Technology & Services,69
"Aero IT, Inc.",Information Technology & Services,6
Aero Operating LLC and Family of Companies,Facilities Services,35
Aerosapien Technologies ™,Aviation & Aerospace,27
AeroVironment,Defense & Space,1062
AES Northeast,Design,40
AESC,Automotive,683
AesculaTech,Biotechnology,11
Aeyon,Management Consulting,498
AFFCU,Banking,96
Affiliated Monitoring,Security & Investigations,163
Affinius Capital,Financial Services,282
AFFORDABLE SAME DAY SERVICE LLC DBA Goforth Express,Transportation/Trucking/Railroad,5
Afirm,Insurance,297
Aflac,Insurance,18837
AFRY,Information Technology & Services,18480
Afterbyte,Information Technology & Services,4
Agency PR,Public Relations & Communications,4
Aggreko,Utilities,7073
Agha Romero,Civil Engineering,22
AGI - Ag Growth International,Mechanical Or Industrial Engineering,977
"Agilant Solutions, Inc.",Information Technology & Services,230
Agile Datapro,Computer Software,28
Agilent Technologies,Biotechnology,17423
AGILIANT,Information Technology & Services,21
Agility Partners,Information Technology & Services,70
Agility Recruiting,Staffing & Recruiting,15
AGM Tech Solutions - A WBENC and MBE Certified company that specializes in providing IT Staffing,Information Technology & Services,92
Agrace,Hospital & Health Care,443
AgreeYa Solutions,Information Technology & Services,1068
Agropur,Dairy,2820
"AGS Exposition Services, Inc.",Events Services,33
AgState,Farming,113
AHCA/NCAL,Hospital & Health Care,166
AHIMA,Hospital & Health Care,360
Ahold Delhaize,Retail,95337
