job_title,salary_in_usd
Applied Scientist,213660
Applied Scientist,130760
Applied Scientist,204620
Applied Scientist,110680
Machine Learning Engineer,163196
Machine Learning Engineer,145885
Research Scientist,220000
Data Engineer,85000
Data Engineer,65000
Data Analyst,75000
Data Analyst,70000
Data Analyst,85000
Data Analyst,75000
Data Engineer,85000
Data Engineer,65000
Data Scientist,130001
Data Scientist,71907
Data Engineer,85000
Data Engineer,65000
Applied Scientist,213660
Applied Scientist,130760
BI Data Engineer,60000
Data Engineer,85000
Data Engineer,65000
Research Engineer,155000
Research Engineer,125000
Research Engineer,155000
Research Engineer,125000
Data Analyst,64200
Data Analyst,56100
Data Engineer,92700
Data Engineer,61800
Research Engineer,160000
Research Engineer,120000
Data Scientist,190000
Data Scientist,120000
Data Analyst,85000
Data Analyst,75000
Data Engineer,92700
Data Engineer,61800
Data Engineer,62000
Data Engineer,58000
Data Engineer,125000
Data Engineer,90000
Data Analyst,95000
Data Analyst,70000
Data Engineer,115100
Data Engineer,73900
Research Scientist,150000
Research Scientist,100000
Data Analyst,75000
Data Analyst,60000
Data Engineer,125000
Data Engineer,90000
Data Analyst,100000
Data Analyst,150000
Data Analyst,100000
Research Scientist,150000
Research Scientist,100000
Data Analyst,85000
Data Analyst,75000
Computer Vision Engineer,220000
Data Analyst,55000
Data Analyst,48000
Data Analyst,75000
Data Analyst,60000
Data Analyst,60000
Data Analyst,50000
Data Analyst,85000
Data Analyst,75000
Data Analyst,55000
Data Analyst,48000
Data Analyst,100000
Data Scientist,110000
BI Developer,160000
BI Developer,100000
Data Engineer,160000
Data Engineer,135000
Data Analyst,30000
Data Scientist,124234
Data Scientist,74540
Data Engineer,160000
Data Engineer,135000
Data Scientist,50000
Data Engineer,160000
Data Engineer,135000
Research Engineer,160000
Research Engineer,120000
Deep Learning Engineer,150000
Deep Learning Engineer,120000
Data Engineer,160000
Data Engineer,135000
Data Scientist,258750
Data Scientist,185000
Data Engineer,220000
Data Engineer,205000
Head of Data,329500
Head of Data,269600
Data Engineer,145000
Data Engineer,115000
Data Engineer,175000
Data Engineer,110000
Analytics Engineer,221000
Analytics Engineer,153000
Data Scientist,200000
